"country","totalIPs"
"A1",61125
"A2",876571
"AD",37248
"AE",3153682
"AF",138854
"AG",50817
"AI",9733
"AL",342487
"AM",610090
"AO",925190
"AP",112182
"AQ",4419
"AR",18651665
"AS",9216
"AT",11287647
"AU",48484909
"AW",54290
"AX",36605
"AZ",711446
"BA",801554
"BB",141835
"BD",1023752
"BE",11433552
"BF",62890
"BG",4345399
"BH",462091
"BI",15488
"BJ",63808
"BL",5
"BM",121611
"BN",198917
"BO",1126587
"BQ",16391
"BR",80441295
"BS",139370
"BT",26880
"BW",121368
"BY",1848588
"BZ",237449
"CA",81926057
"CC",5
"CD",123449
"CF",10501
"CG",49433
"CH",21215686
"CI",199296
"CK",8202
"CL",10196356
"CM",244815
"CN",330463853
"CO",17245461
"CR",2571901
"CU",256768
"CV",22528
"CW",320907
"CY",743014
"CZ",8236546
"DE",120548521
"DJ",40729
"DK",12991286
"DM",18245
"DO",1567288
"DZ",3745949
"EC",2637224
"EE",1367370
"EG",12040699
"ER",4096
"ES",29177704
"ET",98304
"EU",20134366
"FI",13657972
"FJ",140090
"FK",1415
"FM",10752
"FO",40197
"FR",79833027
"GA",321601
"GB",125222608
"GD",24070
"GE",1181447
"GF",62976
"GG",28172
"GH",521377
"GI",69472
"GL",20490
"GM",27141
"GN",26533
"GP",124257
"GQ",13329
"GR",6162597
"GS",5
"GT",635618
"GU",220288
"GW",10243
"GY",45824
"HK",12010821
"HN",471416
"HR",2358178
"HT",168960
"HU",5853826
"ID",19042698
"IE",7511051
"IL",7738025
"IM",70443
"IN",36499802
"IO",3072
"IQ",591637
"IR",9932086
"IS",863298
"IT",53368558
"JE",58490
"JM",266509
"JO",666254
"JP",205315475
"KE",3869677
"KG",271110
"KH",234752
"KI",6146
"KM",4357
"KN",26984
"KP",9539
"KR",112239829
"KW",1945257
"KY",187402
"KZ",2761620
"LA",60928
"LB",483684
"LC",24845
"LI",91706
"LK",547072
"LR",18488
"LS",73516
"LT",2501383
"LU",1282019
"LV",1819432
"LY",330504
"MA",5164042
"MC",52746
"MD",1368576
"ME",179968
"MF",7557
"MG",167957
"MH",6666
"MK",680474
"ML",56576
"MM",32832
"MN",210186
"MO",326661
"MP",15492
"MQ",130732
"MR",48184
"MS",2826
"MT",569630
"MU",1847312
"MV",54785
"MW",156745
"MX",28798221
"MY",6438767
"MZ",421125
"NA",428800
"NC",157706
"NE",44656
"NF",1029
"NG",2393834
"NI",419096
"NL",48791950
"NO",15743141
"NP",484101
"NR",12549
"NU",2058
"NZ",7226721
"OM",903181
"PA",2052914
"PE",3195498
"PF",43778
"PG",63518
"PH",5440547
"PK",5309229
"PL",20689196
"PM",8453
"PN",8
"PR",1212247
"PS",577042
"PT",6008094
"PW",10240
"PY",1086607
"QA",818570
"RE",245121
"RO",13357391
"RS",2290369
"RU",46428873
"RW",360704
"SA",6538027
"SB",15626
"SC",2155081
"SD",1189902
"SE",26886363
"SG",6635275
"SH",512
"SI",2630420
"SJ",5
"SK",2787921
"SL",49448
"SM",30208
"SN",226202
"SO",17742
"SR",86538
"SS",4105
"ST",9221
"SV",662408
"SX",772
"SY",858112
"SZ",39690
"TC",17163
"TD",11533
"TF",10
"TG",22528
"TH",8590678
"TJ",62723
"TK",2048
"TL",6148
"TM",8709
"TN",2732032
"TO",12034
"TR",16308501
"TT",516608
"TV",12298
"TW",35477003
"TZ",584606
"UA",11901204
"UG",239768
"UM",12
"US",1582642433
"UY",4545344
"UZ",234762
"VA",17984
"VC",22533
"VE",6838579
"VG",39786
"VI",113355
"VN",15640595
"VU",16906
"WF",3076
"WS",22276
"YE",67592
"YT",18639
"ZA",24495431
"ZM",321608
"ZW",130434
